"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group C";"Sun Jun 21, 2015";"9:00 PM";"A";"";"Colombia";"4-4-2";"17.231";"0:0";"Copa América 2015";"Peru"
"Quarter-Finals";"Fri Jun 26, 2015";"1:30 AM";"A";"";"Bolivia";"4-4-2";"16.872";"1:3";"Copa América 2015";"Peru"
"Semi-Finals";"Tue Jun 30, 2015";"1:30 AM";"A";"";"Chile";"4-2-3-1";"45.651";"2:1";"Copa América 2015";"Peru"
"Third Place Play-Off";"Sat Jul 4, 2015";"1:30 AM";"H";"";"Paraguay";"4-2-3-1";"29.143";"2:0";"Copa América 2015";"Peru"
"Group B";"Sun Jun 5, 2016";"1:30 AM";"A";"";"Haiti";"4-2-3-1";"20.190";"0:1";"Copa América Centenario 2016";"Peru"
"Group B";"Thu Jun 9, 2016";"4:00 AM";"A";"";"Ecuador";"4-2-3-1";"11.937";"2:2";"Copa América Centenario 2016";"Peru"
"Group B";"Mon Jun 13, 2016";"2:30 AM";"A";"";"Brazil";"4-2-3-1";"36.187";"0:1";"Copa América Centenario 2016";"Peru"
"Quarter-Finals";"Sat Jun 18, 2016";"2:00 AM";"H";"";"Colombia";"4-2-3-1";"79.194";"2:4  on pens";"Copa América Centenario 2016";"Peru"
"Group A";"Sat Jun 15, 2019";"9:00 PM";"A";"";"Venezuela";"4-3-3 Attacking";"13.370";"0:0";"Copa América 2019";"Peru"
"Group A";"Tue Jun 18, 2019";"11:30 PM";"A";"";"Bolivia";"4-2-3-1";"26.346";"1:3";"Copa América 2019";"Peru"
"Group A";"Sat Jun 22, 2019";"9:00 PM";"H";"";"Brazil";"4-2-3-1";"45.067";"0:5";"Copa América 2019";"Peru"
"Quarter-Finals";"Sat Jun 29, 2019";"9:00 PM";"A";"";"Uruguay";"4-2-3-1";"21.180";"4:5  on pens";"Copa América 2019";"Peru"
"Semi-Finals";"Thu Jul 4, 2019";"2:30 AM";"A";"";"Chile";"4-2-3-1";"33.058";"0:3";"Copa América 2019";"Peru"
"Final";"Sun Jul 7, 2019";"10:00 PM";"A";"";"Brazil";"4-2-3-1";"69.968";"3:1";"Copa América 2019";"Peru"
"Group B";"Fri Jun 18, 2021";"2:00 AM";"H";"";"Brazil";"4-2-3-1";"x";"0:4";"Copa América 2021";"Peru"
"Group B";"Mon Jun 21, 2021";"2:00 AM";"A";"";"Colombia";"4-2-3-1";"x";"1:2";"Copa América 2021";"Peru"
